N,time_needed,number_of_rand_moves,quality,cost,percentage_exploration,percentage_expoitation,mem_usage,alg
5,58.29365659,1127,129,241858,0.003,0.997,386.18
5,28.27997398,1238,116,127601,0.004,0.996,165.7
5,13.06577897,1202,114,60527,0.008,0.992,85.23
6,0.01503491,0,3,0,0,0,7.7
6,0.00424099,0,3,0,0,0,0.0
6,0.00342155,0,3,0,0,0,0.0
3,0.05415845,382,22,385,0.0,1.0,0.15
3,0.01777649,375,29,204,0.0,1.0,0.06
3,0.01291847,408,26,177,0.0,1.0,0.05
4,0.57752752,694,62,4171,0.0,1.0,2.84
4,0.91039801,791,63,6761,0.0,1.0,5.19
4,0.64696765,702,62,4754,0.0,1.0,3.55
6,7.84503722,50,54,44583,0,0,5.64
6,0.07756758,50,40,45083,0,0,0.01
6,0.07906389,50,32,45614,0,0,0.01
6,0.31639695,100,64,1640,0,0,0.01
6,50.53878736,100,80,275756,0,0,0.96
6,331.5478723,500,184,1481896,0,1,0.03
3,0.04170537,500,26,426,0.0,1.0,0.13,A*
4,2.10794592,500,60,14707,0.0,1.0,9.66,A*
5,18.46749139,500,120,81933,0.006,0.994,116.08,A*
6,4078.5897522,500,174,17670132,0,1,0.07,IDA*
3,0.0545485,449,23,529,0.0,1.0,0.15,A*
4,48.61190772,745,49,376087,0.0,1.0,202.36,A*
4,50.70582485,0,49,376087,0.0,1.0,785.41,A*
4,1.08089423,0,61,7090,0.0,1.0,5.34,A*
4,44.87710595,0,49,369203,0.0,1.0,198.95,A*
4,36.62998056,0,49,289483,0.0,1.0,152.21,A*
4,2.91928172,0,61,7090,0.0,1.0,5.34,A*
3,0.12261057,378,24,829,0.0,1.0,0.27,A*
4,374.06778646,779,53,2856116,0.0,1.0,1592.96,A*
3,0.09712911,420,24,473,0.0,1.0,0.17,A*
4,10.85755253,0,71,2495,0.0,1.0,2830.33,A*
4,0.37331891,0,71,2495,0.0,1.0,2.05,A*
4,0.38099551,0,71,2495,0.0,1.0,2.05,A*
4,0.32348871,0,161,2169,0.0,1.0,2.75,A*
4,0.00083923,0,1,2,0.0,1.0,0.0,A*
4,0.00158405,0,2,3,0.0,1.0,0.0,A*
4,0.38473153,0,71,2495,0.0,1.0,2.05,A*
3,0.02491832,410,20,242,0.0,1.0,0.07,A*
4,0.55051684,775,47,3559,0.0,1.0,2.24,A*
5,48.03367233,1019,131,200262,0.003,0.997,307.7,A*
3,0.01278853,397,17,64,0.0,1.0,2.36,A*
3,0.01420999,417,21,155,0.0,1.0,0.04,A*
3,0.00358915,442,24,55,0.0,1.0,0.01,A*
3,0.00265479,409,17,35,0.0,1.0,0.01,A*
4,0.07027245,757,71,480,0.0,1.0,0.36,A*
4,0.0958128,738,68,617,0.0,1.0,0.46,A*
4,1.13717842,765,65,8195,0.0,1.0,6.55,A*
4,3.968853,786,76,30899,0.0,1.0,24.16,A*
